category	lemma	explain	note
天地	リッダ	｜天《てん》又ハ｜高《たかい》	
天地	ラム	｜地《ち》又ハ｜低《ひくい》	
天地	シクシカモイ	｜日《ひ》	カモイとは神の義にして尊敬せるものには多く之を附用す
天地	ツップカモイ	｜月《つき》	
天地	ノチウ	｜星《ほし》	
天地	ケモロス	｜山《やま》	
天地	べツ	｜川《かわ》	
天地	アドヒ	｜海《うみ》	
天地	ノプカ	｜原野《げんや》	
天地	ノプリ	｜峯《みね》	
天地	ショマ	｜石《いし》	
天地	コユップケ	｜荒浪《あらなみ》	
天地	ルウ	｜道《みち》	
天地	パエー	｜登《のぼる》	
天地	サン	｜降《くだる》	
天地	シンブイ	｜穴《あな》	
天地	シリボッケ	｜暖氣《あたゝか》	
天地	メアン	｜寒氣《さむい》	
天地	ルヤンベ	｜雨《あめ》	
天地	レラ	｜風《かぜ》	
天地	ユプケ	｜吹《ふく》	
天地	ルイ	｜降《ふる》	
天地	シリベケエレ	｜明《あかるい》	
天地	シリクン子	｜暗《くらい》	
天地	タンド	｜今日《けふ》	
天地	ニシヤッタ	｜明日《あす》	
天地	タノコラ	｜今晩《こんばん》	
天地	タノオノマン	仝上	
天地	オクラン	｜昨晩《さくばん》	
天地	ヌーマン	｜昨日《きのふ》	
天地	ホシカヌーマン	｜一昨日《おとゝい》	
天地	オヤシミ	｜明後日《あさつて》	
天地	クン子ワノ	｜朝《あさ》	
天地	トウグシ	｜晝《ひる》	
天地	アンノスキ	｜夜半《よる》	
天地	サツ	｜乾燥《かわく》	
天地	テー子	｜濕《ぬれる》	
天地	コッチャケ	｜前《まへ》	
天地	オシマケ	｜後《うしろ》	
天地	クシヌ	｜向側《むかい》	
天地	シュニ	｜靑《あを》	
天地	デダリ	｜白《しろ》	
天地	クン子	｜黑《くろ》	
天地	フレ	｜赤《あか》	
天地	コタン	｜村落《ところ》	
人事	クル	｜人《ひと》	
人事	アイノ	｜男《をとこ》	
人事	メノコ	｜女《をんな》	
人事	チヤク	｜父《ちゝ》又ハ｜老爺《ぢゝい》	惣稱
人事	バッコ	｜母《はゝ》又ハ｜老婆《ばゝあ》	惣稱
人事	イホク	｜夫《おつと》	
人事	クマチ	｜妻《つま》	
人事	ユボ	｜兄《あに》	
人事	アキ	｜弟《おとゝ》	
人事	セカチ	｜男兒《おとこのこ》	
人事	オベリキ	｜女兒《おなご》	
人事	チヨウカイ	｜我《わたし》	
人事	ヤニ	｜汝《おまい》	
人事	ニスッパ	｜君《あなた》	
人事	シャモ	｜內地人《にほんじん》	
人事	アカヒト	｜外國人《がいこくじん》	
人事	オテナ	｜酋長《かしら》	
人事	子コ	｜名《な》	
人事	ラムワン	｜優《りこう》	
人事	イゴッカ	｜愚《ばか》	
人事	トラン子	｜怠惰《なまけもの》	
人事	サウレ	仝上	
人事	イカウン	｜勝《かち》	
人事	イラボッカレ	｜負《まけ》	
人事	カトハウキ	｜多言《おしやべり》	
人事	ウゴイキ	｜喧嘩《けんくわ》	
人事	イタッキ	｜言語《ことば》	
人事	ウヱ子ウサラ	仝上	
人事	ヱー	｜左樣《さよふ》	
人事	シュンゲ	｜僞《うそ》	
人事	モライケ	｜働《はたらく》	
人事	クジャルサク	｜謝罪《ごめん》	
人事	ニッチヤテキ	｜愉快《ゆかい》	
人事	子ウシヤ	仝上	
人事	アシカイ	｜上手《じよふづ》	
人事	ラカイシャム	｜下手《へた》	
人事	クイミナルシュイ	｜可笑《おかしい》	
人事	ラムトュエ	｜驚愕《おどろく》	
人事	イルスカ	｜憤怒《ふんぬ》	
人事	クイラヌムクリ	｜可憐《かわいそふ》	
人事	アヤッポ	｜恐怖《こわい》	
人事	ウワア	｜不知《しらない》	
人事	エラミシカリ	仝上	
人事	クコチャン	｜謝斷《おことわり》	
人事	ショモ	｜不然《そふでない》	
人事	ヱンコレイ	｜頂戴《ください》	
人事	ヤイライケレ	｜謝禮《ありがたふ》	
人事	ヤンカラフテー	｜挨拶《こんちは》	言詞
人事	ノキアレ	｜出產《うまれる》	
人事	ライキ	｜死去《しぬ》	
人事	バラクク	｜泣《なく》	
人事	エチエラマスアン	｜戀慕《ほれた》	
人事	サラバー	｜左樣《さよふ》	分註2:なら
人事	モノア	｜坐居《すわる》	
人事	アウカシ	｜步行《あるく》	
人事	シ子ベ	｜遊戯《あそぶ》	
人事	オマン	｜行《ゆく》	
人事	ヤイグメスノ	｜淋《さみ》しひ	
人事	ホヾニ	｜起《おきる》	
人事	モコロ	｜寢《ねる》	
人事	オトママン	｜抱寢《だきね》	
人事	トマヽホッケ	仝上	
人事	アラマス	｜好《すき》	
人事	コンルスイ	仝上	
人事	クィベルスイ	｜空腹《はらがへつた》	
人事	イカシュイ	｜手傳《てつだい》	
人事	ウトシマックアン	｜競爭《せりあい》	
人事	ウタセ	｜交換《かへる》	
人事	エ子ルサ	｜借《かりる》	
人事	エゼルスアム	｜貸《かす》	
人事	ウコイヨッキ	｜買《かう》	
人事	イ子チャコク	｜敎授《おしへる》	
人事	ヱラムアンナ	｜不覺哉《おぼへたか》	
人事	ラムアンナ	仝上	
人事	クイラムアンマ	｜覺《おぼ》へたり	
人事	キマッテキ	｜仲裁《なかだち》	
人事	コル	｜持《もつ》	
人事	エタケヱッキ	｜可來《こい》	
人事	オシビ	｜歸《かへる》	
人事	ヱタオシビ	｜所歸《かへれ》	
人事	イギリスヤニ	｜承知《しようち》	
人事	子ン	｜誰《だれ》	
人事	ウラヱ	｜洗《せん》	
人事	シケ	｜負《おぶ》	
人事	ウック	｜拾《ひろう》	
人事	オッツヱ	｜捨《すてる》	
人事	シニ	｜休息《やすむ》	
人事	ヱレウシカ	｜宿泊《とまる》	
人事	ヌカラ	｜見《みる》	
人事	ヌー	｜聞《きく》	
人事	ケムク	｜舐《なめる》	
人事	フラ	｜香《にほふ》	
人事	ラリウ	｜漕《こぐ》	
人事	ウエン	｜惡《わるい》	
人事	シッ	｜大便《だいべん》	
人事	オソマ	仝上	
人事	オクイマ	｜小便《しようべん》	
身体	ニドバケ	｜身体《からだ》	
身体	ナヌ	｜顏《かほ》	
身体	パッケ	｜頭《あたま》	
身体	オトップ	｜髮《かみ》	
身体	キサラ	｜耳《みヽ》	
身体	シギ	｜目《め》	
身体	チャロ	｜口《くち》	
身体	エト	｜鼻《はな》	
身体	テケ	｜手《て》	
身体	ツキリ	｜足《あし》	
身体	レッケ	｜髯《ひげ》	
身体	アム	｜爪《つめ》	
身体	パルンベ	｜舌《した》	
身体	ホニ	｜腹《はら》	
身体	チイ	淫莖	
身体	ボッキ	淫門	
身体	アシギベツ	｜指《ゆび》	
身体	ルス	｜皮《かわ》	
身体	ヤヱウヱン	｜跛《ちんば》	
身体	シヱヽ	｜病氣《やまい》	
身体	シンキ	｜疲勞《つかれ》	
身体	ヤマイゲ	｜疥癬《ひぜん》	若しくは｜痒《かゆい》
身体	インキキ	｜掻《かく》	
身体	アルカ	｜痛《いたむ》	
身体	アヨ	仝上	
飮食	エベ	｜食《しょく》	
飮食	ィクッ	｜飮《の》む	
飮食	アマヽ	食物の通稱	
飮食	ワッカ	｜水《みづ》	
飮食	ヤムワッカ	｜冷水《ひやみづ》	盖しヤムは山の變語にして山の清水といふ義ならん
飮食	ウセ	｜熱湯《ゆ》	
飮食	セヽワッカ	仝上	
飮食	シュゲー	｜煎《にる》	
飮食	セヽカ	｜可熱《あつくせよ》	
飮食	トンドラ	｜氷《こほり》	
飮食	シュム	｜油《あぶら》	
飮食	オハウ	｜汁《しる》	
飮食	ルリ	仝上	
飮食	チヤン	｜甘味《あまい》	
飮食	チャラカラ	｜辛《からい》	
飮食	シウ	｜苦味《にがい》	
飮食	ルヽコル	｜酸味《すい》	
飮食	エルスイ	｜好食《たべたい》	
飮食	ヨウスケ	｜酩酊《よツぱらい》	
物名	チセ	｜家《いゑ》	
物名	チップ	舟	
物名	アベ	｜火《ひ》	
物名	ス子	｜燈火《ともしび》	
物名	ラッチャク	仝上	
物名	イタ	｜膳《ぜん》	
物名	イタンキ	｜椀《わん》	
物名	パシュイ	｜箸《はし》	
物名	チエンヌイペ	｜枕《まくら》	
物名	アボスタ	｜戶《と》	
物名	ツミップ	｜衣裳《いしょう》	
物名	モッウル	｜肌着《はだぎ》	
物名	アベパシュイ	｜火箸《ひばし》	
物名	イヌンベ	｜爐《いろり》	
物名	セレンボ	｜煙管《きせる》	
物名	アベニー	｜薪《たきヾ》	
物名	チボ	｜櫂《かい》	
物名	ツリ	｜櫂《かい》｜棒《ぼう》	
物名	キナ	土人｜敷物《しきもの》	
物名	カンビ	｜書物《ほん》、帳面《ちょうめん》等の惣稱	盖し｜紙《かみ》の變語ならん
物名	チョンバ	｜舛《ます》	
動植物	チカップ	｜鳥《とり》の通稱	
動植物	ポンチカップ	｜小鳥《ことり》	凡て何鳥何鳥と各自の名稱あるにあらず槪ね之を惣稱せるなり
動植物	ウオロン	｜鴨《かも》	ウオロンは潜伏の意
動植物	パスクル	｜烏《からす》	
動植物	チヱップ	｜魚《うを》の通稱	
動植物	シベ	｜鮭《さけ》	
動植物	イザニュ	｜鱒《ます》	
動植物	ヘロギ	｜鰊《にしん》	
動植物	トュクシヽ	｜飴《あめ》｜鱒《ます》	
動植物	キキャブ	やまめ	
動植物	シュブン	｜鰄《うごい》	
動植物	チライ	｜糸魚《いとを》	
動植物	バケボロ	｜石魚《かじか》	
動植物	アバヤヽ	｜蟹《かに》	
動植物	ユッコ	｜鹿《しか》	
