word,freq
ne,37910
wa,33472
ka,18380
an,17866
ta,16589
kor,14213
pe,11419
ruwe,10994
kusu,9922
p,8706
kane,8642
kamuy,8489
hine,8461
ki,7931
a=kor,7351
a,6714
utar,6064
na,5780
sekor,5752
ene,5538
or,5394
ari,5206
hi,4901
oka=an,4602
yakka,4549
somo,4445
pirka,4229
un,4095
pa,4072
oka,3667
no,3518
ora,3484
nep,3316
nispa,3262
aynu,3243
cise,3217
kus,3109
anakne,3020
akusu,2987
kuni,2907
korka,2902
konno,2859
isam,2859
ayne,2800
V,2768
a=ye,2761
kotan,2701
yakun,2616
ya,2602
an=an,2575
tane,2551
menoko,2548
siri,2529
oro,2376
hawe,2290
hawean,2195
ye,2167
pakno,2120
poro,2078
suy,2013
ek,1876
yak,1873
pon,1853
a=ki,1812
orano,1775
a=kar,1705
nea,1698
hike,1671
wen,1602
yan,1601
yaynu=an,1595
u,1583
usa,1562
rusuy,1555
anak,1475
kur,1465
itak,1462
okay,1457
poronno,1391
iki,1382
paye=an,1378
okkaypo,1312
sine,1273
hawki,1267
sirkunpato,1248
nankor,1239
patek,1211
ani,1206
yupo,1171
hene,1170
tan,1157
koraci,1135
a=ne,1134
rok,1105
kar,1099
sapo,1073
katkemat,1067
neno,1057
a=nukar,1042
cis,1036
arpa=an,1014
nen,1006
tura,1003
ikia,974
awa,960
a=onaha,956
turano,949
e,939
eino,939
nekon,932
pet,928
sonno,927
po,891
humi,878
wano,872
easkay,867
to,866
cip,865
ciki,865
arpa,845
poka,841
akus,839
iki=an,833
ipe,833
inkar=an,826
ona,825
a=ramu,792
wenkamuy,786
tu,783
hapo,783
ney,767
ekasi,762
noyne,749
a=e,742
konto,739
onne,730
Ｖ,716
he,715
taa,714
opitta,714
e=kor,705
mosir,692
okake,686
eun,683
soy,681
arki,674
nani,674
tapne,668
neya,658
yuk,655
uske,646
suke,642
o,641
ray,635
i,635
eaykap,633
arki=an,632
pirkano,632
en,622
ponno,621
cep,621
manu,618
i=kore,615
ekimne,613
tono,607
as,605
nupuri,604
asinuma,600
easir,595
oraun,593
a=utari,592
inne,591
cup,590
a=yupihi,590
ipe=an,587
a=nu,580
peka,567
sorekusu,563
katu,560
huci,560
tap,555
e=an,555
hetap,537
ahun,536
a=poho,527
neun,520
ek=an,518
re,512
a=tura,504
yakne,503
sake,502
hokure,502
ranke,501
te,500
kasi,499
sino,499
anoka,490
ape,490
oske,486
ponmenoko,484
ounno,483
an=nukar,481
tek,476
okkayo,474
sinen,472
seta,468
ru,468
itekke,465
ni,455
sak,455
hemanta,454
mak,452
san,447
hopuni,445
siknu,443
kunak,442
turasi,441
orowa,437
e=ne,436
paye,435
e=ki,434
nukar,432
ekimne=an,426
haw,422
=an,422
iteki,422
mici,421
earkinne,421
kewtum,418
rametok,416
atuy,410
okkay,403
kesto,402
aep,399
an=ne,398
kuskeraypo,398
nay,397
an=nu,396
hawean=an,396
a=korsi,395
su,394
oruspe,393
apkas,392
soyne,392
a=unuhu,392
hotke=an,391
orowano,388
a=se,385
pekor,384
inaw,382
ci,379
hekaci,378
kes,374
taan,374
amip,372
hotke,370
so,368
etoko,367
onkami,365
kanna,363
okere,363
acapo,362
apa,361
too,357
aan,357
hetak,353
e=ek,353
nu,352
kunne,352
naa,351
cis=an,350
sap=an,348
hosipi,348
iruska,346
eattukonnaan,343
sike,338
e=iki,336
toan,335
sisam,333
puri,327
wakka,327
wenkur,327
suke=an,325
hinak,325
se,324
kam,323
apunno,320
cikuni,320
a=rayke,319
itak=an,319
Iskar,318
teeta,317
siran,313
kim,311
casi,310
rupne,310
hawki=an,307
a=poutari,306
sirki,300
nisatta,299
sinep,296
makanak,296
sinna,293
inkar,292
sinrit,292
noski,291
tapan,290
nean,289
kari,288
akkari,288
néno,286
turesi,282
konna,281
eani,281
mat,280
hoskino,280
haru,279
rapok,278
sukup,278
kotom,277
hawas,277
sanke,275
kewtumu,274
ko,272
etok,272
san=an,272
Otasut,272
kuski,268
kina,268
ahun=an,265
ruy,264
toy,263
tanto,262
ku=nukar,262
a=saha,262
unno,261
hoski,261
a=eramiskari,261
ku=yaynu,260
a=kotanu,259
hosippa=an,258
yaynu,255
enon,253
uk,251
rerko,250
tun,247
us,247
iwan,247
kun,246
os,246
onne=an,246
ku=kor,246
a=uk,245
hum,245
matkaci,245
y,244
i=tura,242
kira=an,239
n,238
si,237
siknu=an,237
usi,236
hosipi=an,236
kiyanne,235
mina,234
santek,234
omare,233
a=ona,233
k=arpa,233
soyene,232
itanki,230
a=yuputari,230
híne,230
oman,229
matnepo,229
asir,229
e=arpa,229
ku,229
apkas=an,228
rapokke,228
utari,227
kunine,227
wakusu,225
poho,224
enta,223
ran,222
oar,221
ramu,219
a=macihi,219
mokor,217
a=uni,216
puyar,215
payeka=an,215
iwor,214
iwak,212
terke,211
k=an,211
i=resu,210
kotankonnispa,210
soyenpa=an,208
rewsi=an,208
reyep,207
yaykata,207
ay,206
keraan,205
unarpe,205
onon,204
an=ramu,204
tutko,204
hawan=an,204
upas,203
amam,202
a=hekote,202
sirpeker,200
utur,199
kamuynomi,198
epitta,198
kira,197
haweoka,196
cikap,195
sampe,194
pase,194
a=sitoma,193
huciape,193
nina,192
Otasam,192
a=rura,191
takup,191
tumunci,191
payeka,190
tuyma,190
kosonte,190
cik,189
sorekus,189
yupke,188
rewsi,188
iokunnuka,187
mun,186
en=kore,185
a=yupi,185
son,184
yupi,183
e=onaha,182
kurka,181
tup,181
ancikar,180
i=nukar,179
hempak,178
pohene,178
hekattar,178
kani,177
e=ye,177
iyotta,177
pak,176
i=ye,176
ahup,174
oya,173
nusa,173
a=erampewtek,173
eyaykopuntek,172
sam,171
onnay,171
ku=nu,171
a=an,171
a=matnepo,171
nepki,171
soyne=an,170
tasum,170
aynumosir,170
hosippa,169
poro=an,169
sísam,169
sir,168
monaa,168
rura,168
ro,168
isitoma=an,167
mintar,167
a=anu,167
sinean,166
ikor,166
ine,165
sik,164
sirkunne,164
a=kore,163
e=san,163
Ne,163
sama,162
i=ka,161
a=sanke,161
ahup=an,160
oma,159
hawan,159
pito,158
arka,158
mi,157
poniwne,157
sirkorkamuy,156
a=eyaykopuntek,156
paskur,156
emko,156
tum,155
anu,155
ip,155
husko,154
sini,154
sintoko,154
sini=an,153
kampi,153
pokon,152
rorunpe,152
e=oman,151
uymam,150
sinne,149
yuptek,149
tewano,149
corpok,147
arikiki,147
iramkitta,147
a=eywanke,147
hopunpa=an,146
tanepo,145
uturu,145
tumi,144
ohonno,144
rataskep,144
a=omare,144
nupur,143
epunkine,143
ku=ye,143
i=sam,142
ratcitara,142
ekuskonna,142
a=o,142
néwaanpe,142
emkota,141
eramiskari,141
suma,140
retar,140
rera,139
ruyno,139
esta,139
at,139
oper,139
eramuan,138
isoytak,138
a=pa,138
umurek,138
a=onautari,138
wakkata,137
nuye,137
i=koonkami,136
sorekuska,136
hawoka,136
a=ipere,135
pewre,135
an=eikoytupa,134
noka,134
sinotca,133
sap,133
kanto,133
húci,133
inu=an,132
eci=oka,132
kem,132
eytasa,132
a=unihi,132
e=nu,131
ikirok,131
a=tuye,131
kunneywa,131
rep,131
moyre,131
Ipet,131
eci=ki,130
pisno,130
iwak=an,129
a=nomi,128
onnekur,128
nina=an,127
tokap,127
a=resu,127
isimne,127
otu,126
tuye,126
i=epakasnu,126
tunas,126
caca,126
kaspa,125
a=oyki,125
e=kar,124
oripak,124
nipes,124
án=an,124
hanke,123
totto,123
rayke,122
an=,122
kampisos,122
hayokpe,121
kamuynomi=an,120
kay,120
ku=ramu,119
kitay,118
moymoyke,118
an=kor,118
henne,117
onkami=an,117
yayrayke=an,117
a=pakasnu,117
hure,117
osma,116
ray=an,116
だか,116
pokor,116
kuca,116
hopuni=an,116
eraykotne,115
pis,115
ar,115
sunku,115
tuki,114
ran=an,114
a=hoppa,113
humas,113
kemeyki,112
onaha,112
e=se,111
e=poro,111
sone,111
ku=ki,111
a=nuyé,111
iku,110
kenas,110
hopunpa,110
e=hosipi,110
onuman,110
a=koyki,109
a=kasuy,109
teksam,109
iruska=an,109
orke,109
easirana,109
otta,109
e=siknu,108
asinno,108
sito,108
mata,108
rittunna,108
a=esirkirap,108
putu,107
uekarpa,107
póka,107
nitay,106
Sinutapka,106
irenka,106
apesam,106
néa,106
e=apkas,105
maciya,105
a=yanke,104
wakkauskamuy,104
